# 200273d6-cf29-42db-928f-66b77a822107
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
59.9611066; 89615.5241952; 43152.5222108; 0.5009676; -0.0337273; 11.6697057; -5.9801938
60.9604584; 89615.0584848; 43153.4104205; 0.4637261; -0.0405556; 11.1458242; -5.8897315
61.9598102; 89614.6316289; 43154.3115992; 0.4198387; -0.0474631; 10.6046014; -5.6539433
62.9591619; 89614.2478080; 43155.2321250; 0.3691258; -0.0541629; 10.0576843; -5.3546310
63.9585137; 89613.9128037; 43156.1763998; 0.3116775; -0.0603832; 9.5107672; -6.1433406
64.9578655; 89613.6331358; 43157.1470498; 0.2492292; -0.0618827; 8.8417180; -6.2587908
65.9572173; 89613.4150120; 43158.1329124; 0.1858454; -0.0643473; 8.1034875; -5.7134531
66.9565690; 89613.2637194; 43159.1144402; 0.1188658; -0.0713935; 7.3652570; -3.1662074
67.9559208; 89613.1816048; 43160.1433582; 0.0369637; -0.0914607; 6.9223334; -1.2504161
68.9552726; 89613.1987984; 43161.1746224; -0.0779638; -0.1363968; 6.7393983; -1.2169292
69.9546244; 89613.3423295; 43162.1053071; -0.2409127; -0.2188251; 6.5564631; -1.2336266
70.9539761; 89613.6918515; 43163.0261296; -0.4919873; -0.2667734; 6.3656543; -1.2085212
71.9533279; 89614.2578134; 43163.8253858; -0.7296417; -0.2034351; 6.1730121; -0.6205363
72.9526797; 89614.9832900; 43164.5084244; -0.8884336; -0.1269189; 6.0717222; -0.1752175
73.9520315; 89615.8053844; 43165.0995617; -1.0026239; -0.1045676; 6.0428142; 0.0178798
74.9513833; 89616.6768944; 43165.5930941; -1.1109015; -0.1245424; 6.0457704; 1.3792098
75.9507350; 89617.6100073; 43165.9676287; -1.2826774; -0.2146491; 6.2696069; 1.4293451
76.9500868; 89618.5772745; 43166.1373045; -1.5165917; -0.2443650; 6.4934435; 2.5822706
77.9494386; 89619.4926569; 43166.0898323; -1.7214392; -0.1993100; 6.8793896; 2.8486767
78.9487904; 89620.4678738; 43165.8485752; -1.8972299; -0.1519501; 7.2814601; 2.7281432
79.9481421; 89621.4370981; 43165.4396827; -2.0353613; -0.1078198; 7.6467255; 2.2631269
80.9474939; 89622.2912334; 43164.9604227; -2.1239848; -0.0773955; 7.9369850; 2.3474321
81.9468457; 89623.1395781; 43164.3924381; -2.1954386; -0.0648166; 8.2272445; 2.4082238
82.9461975; 89623.9489093; 43163.7679710; -2.2603688; -0.0642108; 8.5147447; 2.1382581
83.9455492; 89624.7153216; 43163.0910015; -2.3292322; -0.0699837; 8.7621128; 2.1994888
84.9449010; 89625.4120006; 43162.3825958; -2.4002233; -0.0722323; 9.0094810; 2.2607195
85.9442528; 89626.0479841; 43161.6368088; -2.4704571; -0.0703585; 9.2568491; 2.3809378
86.9436046; 89626.6412384; 43160.8354696; -2.5368175; -0.0625397; 9.5104177; 2.4507274
87.9429564; 89627.1850055; 43159.9959274; -2.5956389; -0.0552058; 9.7645441; 2.5153495
88.9423081; 89627.6809737; 43159.1286590; -2.6475107; -0.0487662; 10.0186706; 2.8986143
89.9416599; 89628.1348772; 43158.2366417; -2.6932046; -0.0424010; 10.3037484; 3.0473805
90.9410117; 89628.5497526; 43157.3280682; -2.7321305; -0.0354691; 10.5951895; 3.1323735
91.9403635; 89628.9319059; 43156.4061377; -2.7639418; -0.0282476; 10.8866307; 3.6318826
92.9397152; 89629.2880122; 43155.4733630; -2.7887788; -0.0216854; 11.2150695; 3.8714351
93.9390670; 89629.6241422; 43154.5321993; -2.8073157; -0.0154244; 11.5548966; 3.9869925
94.9384188; 89629.9458657; 43153.5855252; -2.8196360; -0.0092280; 11.8947237; 4.2350624
95.9377706; 89630.2588056; 43152.6358869; -2.8259614; -0.0035824; 12.2453700; 4.4170579
96.9371223; 89630.5682094; 43151.6855352; -2.8268284; 0.0018503; 12.6006934; 4.5433946
97.9364741; 89630.8792390; 43150.7361573; -2.8222617; 0.0072931; 12.9560169; 1.3711830
98.9358259; 89631.1973186; 43149.7885120; -2.8124725; 0.0120353; 13.0613538; -0.5134491
99.9351777; 89631.5267937; 43148.8446916; -2.7982643; 0.0163960; 13.0220094; -0.5119001
100.9345294; 89631.8714469; 43147.9070596; -2.7796932; 0.0207898; 12.9826651; -3.3950349
101.9338812; 89632.2353375; 43146.9773071; -2.7564988; 0.0260175; 12.7186448; -5.4009851
102.9332330; 89632.6232638; 43146.0573282; -2.7276380; 0.0317689; 12.2869425; -5.2144974
103.9325848; 89633.0406612; 43145.1490572; -2.6930860; 0.0373120; 11.8552403; -5.0949971
104.9319366; 89633.4919211; 43144.2563890; -2.6531162; 0.0426124; 11.4176763; -4.9645074
105.9312883; 89633.9808683; 43143.3837562; -2.6076542; 0.0483847; 10.9745503; -4.7680193
106.9306401; 89634.5110665; 43142.5365030; -2.5561332; 0.0548129; 10.5314243; -4.8608541
107.9299919; 89635.0825913; 43141.7252814; -2.4985923; 0.0603695; 10.0595970; -4.9877444
108.9293437; 89635.6989101; 43140.9525465; -2.4377536; 0.0622520; 9.5512548; -4.7291650
109.9286954; 89636.3703751; 43140.2097081; -2.3756320; 0.0613524; 9.0429127; -4.8559952
110.9280472; 89637.0981653; 43139.4982497; -2.3143317; 0.0604571; 8.4893212; -5.2533896
111.9273990; 89637.8701690; 43138.8325931; -2.2488594; 0.0694568; 7.8465665; -4.8399880
112.9267508; 89638.6757985; 43138.2322421; -2.1702831; 0.0892281; 7.2038118; -3.9705308
113.9261025; 89639.5190695; 43137.7152420; -2.0651561; 0.1246151; 6.6301577; -1.3450922
114.9254543; 89640.4913112; 43137.2799386; -1.9102817; 0.1703929; 6.4242159; -1.3026527
115.9248061; 89641.4232192; 43137.0446412; -1.7143407; 0.2429373; 6.2182742; -1.2579201
116.9241579; 89642.3676397; 43137.0303604; -1.4496980; 0.2890949; 6.0127136; -1.2136856
117.9235097; 89643.3146287; 43137.2745621; -1.2015411; 0.2035329; 5.8074888; -0.7792571
118.9228614; 89644.2270836; 43137.7191101; -1.0493647; 0.1169825; 5.6718095; 0.2209660
119.9222132; 89645.0744422; 43138.2753704; -0.9285528; 0.1280032; 5.7106101; 0.2224725
120.9215650; 89645.8271312; 43138.9267053; -0.7764748; 0.1886669; 5.7494108; 0.4335260
121.9209168; 89646.4331306; 43139.6968314; -0.5416125; 0.2790240; 5.8242780; 0.4823140
122.9202685; 89646.8178763; 43140.5985874; -0.2697449; 0.2513548; 5.9064556; 1.7593440
123.9196203; 89646.9749383; 43141.5515578; -0.0731308; 0.1551906; 6.1969851; 2.8904474
124.9189721; 89646.9821637; 43142.5293788; 0.0501473; 0.1041496; 6.6467866; 3.0929000
125.9183239; 89646.8770600; 43143.5765043; 0.1459803; 0.0813829; 7.0965881; 2.7172072
126.9176756; 89646.6889076; 43144.5785029; 0.2235568; 0.0713895; 7.4694346; 2.5969525
127.9170274; 89646.4330776; 43145.5472908; 0.2918056; 0.0654235; 7.8091608; 2.7124413
128.9163792; 89646.1138662; 43146.4976405; 0.3558732; 0.0629222; 8.1488869; 2.7639340
129.9157310; 89645.7339438; 43147.4291714; 0.4177665; 0.0578053; 8.4810756; 2.8183462
130.9150827; 89645.3018552; 43148.3350835; 0.4705338; 0.0470516; 8.8069110; 2.9245838
131.9144345; 89644.8328189; 43149.2103073; 0.5113941; 0.0350618; 9.1327464; 3.2551849
132.9137863; 89644.3326256; 43150.0701706; 0.5407915; 0.0258558; 9.4822575; 3.6389290
133.9131381; 89643.8075191; 43150.9213063; 0.5638347; 0.0201595; 9.8583136; 3.7804389
134.9124899; 89643.2667573; 43151.7596018; 0.5809769; 0.0141717; 10.2343698; 4.1541195
135.9118416; 89642.7141101; 43152.5902767; 0.5922239; 0.0087341; 10.6322706; 4.5933951
136.9111934; 89642.1534953; 43153.4171303; 0.5986346; 0.0041070; 11.0555874; 4.7727084
137.9105452; 89641.5890120; 43154.2423744; 0.6004395; -0.0004931; 11.4789042; 4.8154392
138.9098970; 89641.0249788; 43155.0677217; 0.5980634; -0.0032685; 11.8907476; 4.8149933
139.9092487; 89640.4638289; 43155.8944410; 0.5945056; -0.0038525; 12.2887600; 4.9735100
140.9086005; 89639.9057144; 43156.7235394; 0.5903643; -0.0044341; 12.6867724; 4.9367675
141.9079523; 89639.3513563; 43157.5549169; 0.5859081; -0.0038148; 13.0698634; 4.8291451
142.9073041; 89638.8002405; 43158.3881538; 0.5831643; -0.0016793; 13.4340373; 4.9618537
143.9066558; 89638.2502039; 43159.2227999; 0.5825507; 0.0004505; 13.7982112; 4.7725408
144.9060076; 89637.6999412; 43160.0569727; 0.5840628; 0.0025780; 14.1396438; 4.4428971
145.9053594; 89637.1478143; 43160.8893011; 0.5876999; 0.0047029; 14.4502443; 4.5394323
146.9047112; 89636.5912972; 43161.7197503; 0.5934587; 0.0068158; 14.7608448; 4.4254409
147.9040630; 89636.0292850; 43162.5461599; 0.6013697; 0.0091644; 15.0574794; 4.1937678
148.9034147; 89635.4601760; 43163.3667112; 0.6118745; 0.0118715; 15.3332900; 4.2698886
149.9027665; 89634.8806886; 43164.1814192; 0.6250893; 0.0145596; 15.6091007; 2.2867539
150.9021183; 89634.2897597; 43164.9871546; 0.6408609; 0.0166341; 15.7548268; -1.2132593
151.9014701; 89633.6865304; 43165.7817668; 0.6579718; 0.0176595; 15.6776791; -1.2073037
152.9008218; 89633.0679362; 43166.5674553; 0.6761218; 0.0186302; 15.6005314; -2.6851950
153.9001736; 89632.4342472; 43167.3422074; 0.6950047; 0.0181414; 15.4275621; -5.7433426
154.8995254; 89631.7878780; 43168.1041731; 0.7114390; 0.0147822; 15.0509280; -5.6013974
155.8988772; 89631.1296942; 43168.8572038; 0.7246040; 0.0115629; 14.6742938; -6.3423148
156.8982289; 89630.4595465; 43169.6061670; 0.7350180; 0.0113953; 14.2358172; -8.6788506
157.8975807; 89629.7725351; 43170.3550460; 0.7512458; 0.0207887; 13.6129366; -8.2906186
158.8969325; 89629.0829244; 43171.0757036; 0.7774154; 0.0321737; 12.9900560; -8.1185596
159.8962843; 89628.3819020; 43171.7627127; 0.8161607; 0.0483442; 12.3496947; -8.3050023
160.8956361; 89627.6395554; 43172.4233963; 0.8740632; 0.0672249; 11.6582899; -7.8266515
161.8949878; 89626.8564977; 43173.0327152; 0.9466576; 0.0771543; 10.9668850; -6.4093821
162.8943396; 89626.0268729; 43173.5833942; 1.0204154; 0.0612270; 10.3663934; -4.8727662
163.8936914; 89625.1654555; 43174.0826066; 1.0658277; 0.0315909; 9.8854892; -4.6413474
164.8930432; 89624.2743150; 43174.5615713; 1.0853587; 0.0074325; 9.4045850; -5.2261435
165.8923949; 89623.3742265; 43175.0368732; 1.0797755; -0.0211813; 8.8318009; -6.0183513
166.8917467; 89622.4881355; 43175.5303655; 1.0388442; -0.0606697; 8.1223031; -5.5146376
167.8910985; 89621.6580200; 43176.0612182; 0.9575198; -0.1051588; 7.4128052; -3.2250354
168.8904503; 89620.8943331; 43176.6681000; 0.8360370; -0.1360258; 6.9644664; -1.2398618
169.8898020; 89620.2111547; 43177.3764904; 0.6972567; -0.1437175; 6.7842225; -1.2073529
170.8891538; 89619.6218260; 43178.1930085; 0.5539989; -0.1384494; 6.6039787; -0.8299393
171.8885056; 89619.1592527; 43179.0668471; 0.4197311; -0.1378740; 6.4771701; -0.6310570
172.8878574; 89618.8200709; 43179.9982611; 0.2762513; -0.1528000; 6.3790624; -0.6214256
173.8872091; 89618.6233887; 43180.9930446; 0.1104686; -0.1743729; 6.2809546; -0.0552041
174.8865609; 89618.6030781; 43181.9962112; -0.0693882; -0.1711347; 6.2721650; 0.4917427
175.8859127; 89618.7522863; 43182.9788258; -0.2286435; -0.1508680; 6.3500317; 0.4978099
176.8852645; 89619.0521213; 43183.9393009; -0.3749715; -0.1415707; 6.4278983; 0.6136317
177.8846163; 89619.4867267; 43184.8479225; -0.5175118; -0.1418392; 6.5226026; 1.1726017
178.8839680; 89620.0445922; 43185.6839615; -0.6589017; -0.1392960; 6.6998528; 1.2040398
179.8833198; 89620.7082642; 43186.4284624; -0.7969024; -0.1373964; 6.8771030; 1.2354778
180.8826716; 89621.4635185; 43187.0721530; -0.9329721; -0.1369079; 7.0543533; 1.8785715
181.8820234; 89622.2914985; 43187.6040500; -1.0655330; -0.1309471; 7.3156413; 2.0480432
182.8813751; 89623.1868626; 43188.0277009; -1.1904784; -0.1207646; 7.5902595; 2.1235073
183.8807269; 89624.1432385; 43188.3461013; -1.3063579; -0.1089416; 7.8648777; 0.9550652
184.8800787; 89625.1443898; 43188.5604901; -1.4104443; -0.0927228; 7.9853111; -0.1174269
185.8794305; 89626.1639468; 43188.6782171; -1.4995427; -0.0828370; 7.9706017; -0.1172104
186.8787822; 89627.1658047; 43188.7081843; -1.5825808; -0.0849347; 7.9558923; 0.1537281
187.8781340; 89628.1448403; 43188.6536704; -1.6731742; -0.1016913; 7.9751789; 1.6810564
188.8774858; 89629.2097741; 43188.4812393; -1.7927800; -0.1200614; 8.1831175; 1.7243229
189.8768376; 89630.1268217; 43188.2156434; -1.9151351; -0.1357486; 8.3910561; 1.5945844
190.8761894; 89630.9755739; 43187.8472419; -2.0479866; -0.1486182; 8.5788650; 1.4633331
191.8755411; 89631.8011492; 43187.3498872; -2.1679926; -0.0886100; 8.7476679; 1.6536901
192.8748929; 89632.6180239; 43186.7560496; -2.2197840; -0.0266598; 8.9345918; 2.1275247
193.8742447; 89633.3606652; 43186.1803161; -2.2391217; -0.0161080; 9.1694722; 2.1827293
194.8735965; 89634.1660168; 43185.5348839; -2.2528477; -0.0111227; 9.4043527; 0.8438573
195.8729482; 89634.9922250; 43184.8565397; -2.2627815; -0.0049666; 9.4936015; -3.2882983
196.8723000; 89635.7831740; 43184.2013426; -2.2596832; 0.0110716; 9.1409046; -3.1638225
197.8716518; 89636.5678403; 43183.5663599; -2.2394114; 0.0302074; 8.7882076; -3.0393467
198.8710036; 89637.3298973; 43182.9868961; -2.1977407; 0.0598667; 8.4355107; -1.2870754
199.8703553; 89638.2233379; 43182.3885306; -2.1193013; 0.0869020; 8.2816278; -1.2344523
200.8697071; 89639.0795889; 43181.9191410; -2.0205209; 0.1154647; 8.1313009; -1.2217958
201.8690589; 89639.9473464; 43181.5608776; -1.9005140; 0.1383724; 7.9797272; -1.2172327
202.8684107; 89640.8892758; 43181.3086293; -1.7656452; 0.1308762; 7.8258009; -1.1935240
203.8677624; 89641.9048387; 43181.1718745; -1.6505234; 0.0913786; 7.6718745; 1.4232754
204.8671142; 89642.8450984; 43181.1351722; -1.5705702; 0.0810686; 7.8550852; 1.5441709
205.8664660; 89643.8507353; 43181.1758571; -1.4904977; 0.0789556; 8.0491431; 1.7077756
206.8658178; 89644.8918678; 43181.3034966; -1.4067874; 0.0791461; 8.2584527; 2.8612314
207.8651696; 89645.8553956; 43181.4990345; -1.3368206; 0.0641202; 8.5977203; 2.9764086
208.8645213; 89646.8247098; 43181.7613188; -1.2779920; 0.0537095; 8.9369879; 3.0915858
209.8638731; 89647.7861864; 43182.0785422; -1.2274055; 0.0467023; 9.2762555; 2.1931766
210.8632249; 89648.7377694; 43182.4432383; -1.1834742; 0.0394554; 9.5095966; 2.1390573
211.8625767; 89649.6619619; 43182.8405659; -1.1471755; 0.0327932; 9.7317916; 2.1884600
212.8619284; 89650.5518749; 43183.2581259; -1.1180007; 0.0265713; 9.9539867; -2.3921856
213.8612802; 89651.4472278; 43183.7075970; -1.0937902; 0.0220195; 9.7108486; -3.8344131
214.8606320; 89652.3267429; 43184.1733884; -1.0747188; 0.0159532; 9.3078851; -3.6719282
215.8599838; 89653.1959580; 43184.6513900; -1.0625467; 0.0084717; 8.9049217; -6.0571870
216.8593355; 89654.0766515; 43185.1443550; -1.0613620; -0.0077564; 8.1970183; -6.1505254
217.8586873; 89654.9622809; 43185.6309057; -1.0787538; -0.0272248; 7.4093206; -5.5296553
218.8580391; 89655.8374802; 43186.0808735; -1.1171873; -0.0525327; 6.6216229; -1.8715995
219.8573909; 89656.8133170; 43186.5189392; -1.1832221; -0.0700730; 6.3328601; -1.2730064
220.8567427; 89657.7463811; 43186.8581029; -1.2662790; -0.1020359; 6.1286830; -1.3744145
221.8560944; 89658.6607568; 43187.0874862; -1.4006654; -0.2132127; 5.9003142; -1.5633681
222.8554462; 89659.6251681; 43187.1272394; -1.6749500; -0.3083833; 5.6292982; -1.1240597
223.8547980; 89660.5570394; 43186.9039980; -1.9184577; -0.2060938; 5.4260793; -0.5595125
224.8541498; 89661.4233906; 43186.4946753; -2.1026370; -0.1847514; 5.3220331; -0.5486798
225.8535015; 89662.2877301; 43185.8634529; -2.3009936; -0.1871571; 5.2179870; 0.1871277
226.8528533; 89662.9702805; 43185.1313961; -2.4753004; -0.1571504; 5.2537036; 0.3467769
227.8522051; 89663.5308824; 43184.2936824; -2.6267955; -0.1476685; 5.3192580; 0.3510770
228.8515569; 89663.9597475; 43183.3790606; -2.7822661; -0.1643518; 5.3848124; 0.6564749
229.8509086; 89664.2355404; 43182.3800706; -2.9655576; -0.1860033; 5.5052977; 0.7842047
230.8502604; 89664.3141954; 43181.3755910; 3.1171870; -0.2137733; 5.6458565; 0.8039742
231.8496122; 89664.1874288; 43180.4275826; 2.8934118; -0.2557934; 5.7864153; 1.2758371
232.8489640; 89663.8329170; 43179.5269190; 2.6409451; -0.2515412; 6.0027179; 1.3893021
233.8483157; 89663.2622638; 43178.7232960; 2.4158430; -0.2004249; 6.2297211; 1.5996844
234.8476675; 89662.5198492; 43178.0273022; 2.2422373; -0.1381013; 6.4812591; 2.3763748
235.8470193; 89661.7305071; 43177.4696036; 2.1388303; -0.0802680; 6.8378643; 2.5036245
236.8463711; 89660.8592006; 43176.9535569; 2.0788748; -0.0404729; 7.1944695; 2.5727055
237.8457229; 89659.9491298; 43176.4648592; 2.0536215; -0.0115645; 7.5433724; 2.0191970
238.8450746; 89659.0449542; 43175.9981828; 2.0404193; -0.0144928; 7.8062951; 2.0883702
239.8444264; 89658.1474555; 43175.5515236; 2.0241235; -0.0181835; 8.0692178; 2.1575434
240.8437782; 89657.2636730; 43175.1314512; 2.0040878; -0.0230221; 8.3321405; 2.4856327
241.8431300; 89656.3299394; 43174.7158043; 1.9719744; -0.0409202; 8.6251150; 2.5902544
242.8424817; 89655.4037760; 43174.3485576; 1.9212965; -0.0609653; 8.9201883; 2.3596431
243.8418335; 89654.4760377; 43174.0436644; 1.8522394; -0.0779648; 9.1807400; -6.2514271
244.8411853; 89653.5193016; 43173.7985770; 1.7989051; -0.0295485; 8.4729710; -5.7501652
245.8405371; 89652.5464997; 43173.5795002; 1.7936723; 0.0183264; 7.7652020; -4.5444874
246.8398888; 89651.5666936; 43173.3402720; 1.8337726; 0.0588361; 7.1564851; -1.2469923
247.8392406; 89650.6229774; 43173.0513229; 1.9071528; 0.0898363; 6.9801798; -1.2158886
248.8385924; 89649.6942957; 43172.6731244; 2.0132322; 0.1216278; 6.8038746; -1.1858047
249.8379442; 89648.8055570; 43172.1764305; 2.1518358; 0.1402501; 6.6274156; -1.1596022
250.8372960; 89647.9783387; 43171.5494707; 2.2825371; 0.1152549; 6.4501889; -1.1281725
251.8366477; 89647.2546306; 43170.8499515; 2.3954287; 0.1128411; 6.2729621; -1.0476482
252.8359995; 89646.6359382; 43170.0972427; 2.5171570; 0.1479451; 6.1037788; -0.8112618
253.8353513; 89646.1064465; 43169.1998426; 2.7144785; 0.2301562; 5.9694760; -0.7932129
254.8347031; 89645.8208254; 43168.3150500; 2.9485278; 0.2568099; 5.8351732; 2.7433256
255.8340548; 89645.7493815; 43167.3965214; -3.1098186; 0.2170665; 6.2874749; 3.2187528
256.8334066; 89645.8797021; 43166.3819625; -2.9330434; 0.1295614; 6.7797989; 2.5308213
257.8327584; 89646.1393491; 43165.4203762; -2.8275449; 0.0975520; 7.1431110; 2.2028793
258.8321102; 89646.4939276; 43164.4878333; -2.7275789; 0.1056846; 7.4449270; 2.2940312
259.8314619; 89646.9654997; 43163.5652564; -2.6060351; 0.1319202; 7.7467429; 1.9251287
260.8308137; 89647.5443519; 43162.7311296; -2.4630926; 0.1395006; 7.9912319; 1.7737024
261.8301655; 89648.2226430; 43161.9984407; -2.3277419; 0.1312677; 8.2100483; 1.8216141
262.8295173; 89648.9887936; 43161.3623225; -2.2010750; 0.1231101; 8.4288647; 1.5081514
263.8288691; 89649.8150245; 43160.8313427; -2.0847765; 0.1117284; 8.6058182; 1.3159247
264.8282208; 89650.6964109; 43160.3927269; -1.9832849; 0.0938429; 8.7572970; 1.3388854
265.8275726; 89651.6384546; 43160.0290658; -1.8984352; 0.0742368; 8.9087758; 1.1849565
266.8269244; 89652.5979439; 43159.7395168; -1.8303596; 0.0684971; 9.0407224; 1.0095362
267.8262762; 89653.5592044; 43159.5202836; -1.7580910; 0.0782799; 9.1516351; 1.0218458
268.8256279; 89654.5551215; 43159.3737859; -1.6737247; 0.0894641; 9.2625479; 0.9110920
269.8249797; 89655.5773889; 43159.3174364; -1.5759860; 0.0997605; 9.3603310; -1.3006341
270.8243315; 89656.6343009; 43159.3647345; -1.4783279; 0.0874451; 9.2204237; -1.2810473
271.8236833; 89657.6505354; 43159.5051001; -1.3881204; 0.0913137; 9.0805165; -1.2614606
272.8230350; 89658.5718695; 43159.7197498; -1.2914022; 0.1191789; 8.9406093; -5.2265778
273.8223868; 89659.5797618; 43160.0920049; -1.1339497; 0.1684660; 8.3359531; -6.2545681
274.8217386; 89660.4176019; 43160.5735695; -0.9636253; 0.1712073; 7.5489792; -5.0336022
