left_x,left_y,left_z,right_x,right_y,right_z
89662.4,43172,6.5,89631.5,43184.3,6.5
89664,43173,6.5,89632.2,43182.9,6.5
89665.2,43173.7,6.5,89632.9,43181.4,6.5
89666.8,43174.6,6.5,89633.4,43180.5,6.5
89667.8,43174.9,6.5,89634.1,43179.5,6.5
89669,43175.1,6.5,89635,43178.8,6.5
89670.5,43175,6.5,89636.3,43177.8,6.5
89621.3,43189.8,6.5,89637.5,43177.4,6.5
89623.4,43191.3,6.5,89638.7,43177.1,6.5
89624.7,43192,6.5,89640.2,43177,6.5
89625.8,43192.4,6.5,89641.6,43176.9,6.5
89626.9,43192.8,6.5,89642.9,43177,6.5
89628.2,43193.1,6.5,89644.5,43177.3,6.5
89630,43192.9,6.5,89645.8,43177.6,6.5
89631.4,43192.7,6.5,89647.4,43178,6.5
89632.7,43192.3,6.5,89649,43178.5,6.5
89634,43191.6,6.5,89649.9,43178.9,6.5
89635.7,43190.3,6.5,89651,43179.4,6.5
89636.8,43188.9,6.5,89652.3,43180.2,6.5
89637.7,43187.7,6.5,89653.5,43181.1,6.5
89638.7,43186.2,6.5,89654.5,43181.9,6.5
89639.8,43184.5,6.5,89655.3,43182.6,6.5
89640.7,43183.8,6.5,89656,43183.2,6.5
89641.8,43183.6,6.5,89656.8,43183.8,6.5
89642.7,43183.7,6.5,89657.9,43184.3,6.5
89643.9,43184,6.5,89658.8,43184.3,6.5
89644.6,43184.3,6.5,89659.9,43183.4,6.5
89645.3,43184.7,6.5,89660.2,43181.8,6.5
89646.2,43185.4,6.5,89660,43181,6.5
89647.9,43186.6,6.5,89658.9,43180.1,6.5
89651.2,43188.7,6.5,89657.7,43179.5,6.5
89653.5,43190.2,6.5,89657,43179.2,6.5
89656,43191.7,6.5,89656.1,43178.7,6.5
89657.1,43192.6,6.5,89655.3,43178.1,6.5
89658.4,43193.1,6.5,89654.3,43177.4,6.5
89660.4,43193.1,6.5,89652.9,43176.8,6.5
89661.6,43192.9,6.5,89651.7,43176.5,6.5
89662.8,43192.2,6.5,89650.7,43176.3,6.5
89663.8,43191.1,6.5,89649.5,43176.2,6.5
89664.8,43189.6,6.5,89648.3,43176.1,6.5
89666.1,43187.6,6.5,89646.7,43176,6.5
89667.6,43185.3,6.5,89645.6,43175.8,6.5
89668.7,43183.3,6.5,89644.6,43175.5,6.5
89669.2,43182,6.5,89643.9,43175,6.5
89669.3,43180.9,6.5,89643,43174.4,6.5
89669,43179.7,6.5,89641.6,43172.4,6.5
89668.5,43178.6,6.5,89640.8,43169.9,6.5
89667.8,43177.7,6.5,89640.6,43168.7,6.5
89666.7,43176.4,6.5,89640.5,43167.7,6.5
89665.8,43175.7,6.5,89640.7,43166.3,6.5
89664.9,43175,6.5,89641.1,43164.9,6.5
89663.1,43174,6.5,89641.4,43164.1,6.5
89661.5,43173.1,6.5,89642,43163.3,6.5
89659.8,43172.1,6.5,89642.4,43162.4,6.5
89658,43171.2,6.5,89643.2,43161.5,6.5
89656.1,43170.5,6.5,89644.6,43160.6,6.5
89654.7,43170.4,6.5,89649.1,43158.7,6.5
89653.3,43170.2,6.5,89650.2,43158.2,6.5
89652,43170.1,6.5,89619.4,43155.6,6.5
89650.3,43169.9,6.5,89616.8,43159.7,6.5
89649.4,43169.7,6.5,89616.1,43161,6.5
89648.4,43168.9,6.5,89616.2,43161.9,6.5
89648.2,43168.4,6.5,89616.8,43163,6.5
89648.4,43167,6.5,89617.7,43163.4,6.5
89649.4,43166.3,6.5,89618.9,43162.9,6.5
89650.3,43166.1,6.5,89618.9,43162.9,6.5
89652.1,43165.3,6.5,89619.5,43162.2,6.5
89652.9,43165,6.5,89619.9,43161.3,6.5
89613.2,43151.8,6.5,89621.5,43158.7,6.5
89610.1,43156.7,6.5,89622.8,43156.7,6.5
89609.7,43157.6,6.5,89623.9,43155.1,6.5
89609.2,43158.4,6.5,89625.2,43153.1,6.5
89608.6,43160.8,6.5,89626,43151.7,6.5
89608.7,43163.4,6.5,89627.3,43149.7,6.5
89609.4,43165.8,6.5,89628.3,43147.9,6.5
89610.8,43167.9,6.5,89629.3,43146.4,6.5
89611.6,43168.7,6.5,89630,43145.2,6.5
89613.1,43169.8,6.5,89631.4,43143.2,6.5
89614.9,43170.7,6.5,89632.1,43141.8,6.5
89616.8,43171.1,6.5,89633.3,43140,6.5
89618.7,43171.1,6.5,89664.5,43150.9,6.5
89620.6,43170.8,6.5,89663.4,43151.1,6.5
89621.8,43170.4,6.5,89662.4,43151.3,6.5
89622.9,43169.6,6.5,89661.5,43151.3,6.5
89624,43168.8,6.5,89660.4,43151,6.5
89624,43168.8,6.5,89659.3,43150.4,6.5
89624.7,43167.9,6.5,89657.9,43149.5,6.5
89625.8,43166.3,6.5,89656.4,43148.6,6.5
89626.6,43165.1,6.5,89655.2,43147.3,6.5
89628.2,43162.7,6.5,89633.3,43140,6.5
89630.1,43159.4,6.5,89634.1,43138.8,6.5
89631.9,43156.6,6.5,89635.4,43136.7,6.5
89632.7,43154.9,6.5,89637,43134.6,6.5
89634.2,43151.9,6.5,89637.7,43133.8,6.5
89635.1,43150.2,6.5,89638.6,43133.1,6.5
89636.6,43147.4,6.5,89639.7,43132.5,6.5
89637.8,43145.3,6.5,89641,43132.2,6.5
89639.1,43143.4,6.5,89642.7,43132,6.5
89663.7,43143.8,6.5,89644.6,43132.3,6.5
89663.1,43143.9,6.5,89646.4,43132.8,6.5
89661.8,43144,6.5,89648.6,43134.3,6.5
89660.7,43143.6,6.5,89649.8,43135.4,6.5
89660,43142.8,6.5,89650.7,43137,6.5
89659.8,43142.2,6.5,89651.3,43138.9,6.5
89639.1,43143.4,6.5,89630,43175.8,6.5
89640.1,43141.7,6.5,89629.1,43176.5,6.5
89640.5,43141,6.5,89628.2,43176.7,6.5
89641,43140.3,6.5,89627.3,43176.8,6.5
89642,43139.6,6.5,89625.9,43176.7,6.5
89643.4,43139.7,6.5,89624.5,43177.2,6.5
89643.9,43140,6.5,89623.2,43178.5,6.5
89644.2,43140.5,6.5,89623,43179.2,6.5
89625.2,43171.7,6.5,89623,43180.4,6.5
89624.4,43172.3,6.5,89623.6,43181.9,6.5
89623.1,43172.6,6.5,89624.2,43182.4,6.5
89622.2,43172.7,6.5,89625,43182.8,6.5
89621.2,43173,6.5,89625.6,43183.2,6.5
89620.1,43173.3,6.5,89669.8,43167.9,6.5
89618.9,43173.7,6.5,89670.6,43167.7,6.5
89618.2,43174.2,6.5,89671.3,43166.9,6.5
89617.2,43174.8,6.5,89671.6,43166.3,6.5
89616.3,43176,6.5,89671.8,43165.6,6.5
89615.8,43176.9,6.5,89672,43165.1,6.5
89615.5,43178.2,6.5,89672.5,43164.1,6.5
89615.2,43179.6,6.5,89673.3,43163,6.5
89615,43180.9,6.5,89673.9,43162,6.5
89615.1,43182,6.5,89674.7,43160.8,6.5
89615.2,43183.1,6.5,89675.4,43159.7,6.5
89615.4,43184.2,6.5,89675.9,43159,6.5
89615.9,43185.1,6.5,89676.9,43157.7,6.5
89616.6,43186.1,6.5,89677.3,43156.4,6.5
89618.6,43187.8,6.5,89677.2,43155.6,6.5
89621.1,43189.7,6.5,89676.6,43154.4,6.5
89621.3,43189.8,6.5,89676.3,43154,6.5
89670.5,43175,6.5,89675.5,43153.6,6.5
89672.1,43174.7,6.5,89674.9,43153.2,6.5
89673.3,43174.3,6.5,89674.1,43152.7,6.5
89674.7,43173.8,6.5,89673.1,43151.9,6.5
89675.5,43172.9,6.5,89672.2,43151.3,6.5
89676.1,43172,6.5,89670.8,43150.8,6.5
89676.8,43170.9,6.5,89669.8,43150.4,6.5
89678.3,43168.6,6.5,89668.7,43150.1,6.5
89679.5,43166.7,6.5,89667.5,43150.2,6.5
89680,43165.9,6.5,89666.3,43150.5,6.5
89680.5,43165,6.5,89665.3,43150.7,6.5
89681.2,43164.3,6.5,89664.5,43150.9,6.5
89681.8,43163.7,6.5,89651.3,43138.9,6.5
89682.5,43163,6.5,89651.5,43141.3,6.5
89683.3,43162.3,6.5,89651.3,43142.5,6.5
89684,43161.5,6.5,89650.8,43143.8,6.5
89684.2,43160.6,6.5,89649.9,43145.4,6.5
89684,43159,6.5,89649.1,43146.6,6.5
89683.8,43157.6,6.5,89648.1,43148.3,6.5
89683.5,43155.8,6.5,89647.2,43149.8,6.5
89683.1,43154,6.5,89646.2,43151.5,6.5
89682.8,43152.2,6.5,89645.2,43153.2,6.5
89682.3,43151,6.5,89643.8,43155.2,6.5
89681.8,43150.1,6.5,89642.8,43156.6,6.5
89680.9,43148.8,6.5,89641.5,43158.8,6.5
89680,43147.7,6.5,89640.5,43160.2,6.5
89679.1,43147,6.5,89639.1,43162.4,6.5
89677.4,43146.1,6.5,89637.9,43164.3,6.5
89675.9,43145,6.5,89636.7,43166.1,6.5
89674,43143.8,6.5,89634.4,43169.5,6.5
89673.4,43143.4,6.5,89633.6,43170.4,6.5
89672.8,43143,6.5,89633.1,43171.1,6.5
89671.2,43142.8,6.5,89632.2,43172.3,6.5
89669.7,43142.9,6.5,89631.6,43173.4,6.5
89667.9,43143.1,6.5,89631.2,43174.2,6.5
89665.2,43143.6,6.5,89630.7,43175,6.5
89663.7,43143.8,6.5,89630,43175.8,6.5
89644.2,43140.5,6.5,89655.2,43147.3,6.5
89644.4,43141.7,6.5,89654.5,43146.4,6.5
89643.5,43143.4,6.5,89654.1,43145.5,6.5
89641,43147.4,6.5,89653.6,43144.2,6.5
89639.2,43150.2,6.5,89653.3,43142.7,6.5
89637.8,43152.5,6.5,89653.4,43141.4,6.5
89636.1,43155.2,6.5,89653.5,43139.3,6.5
89633.7,43159.1,6.5,89653.6,43137.8,6.5
89632.2,43161.5,6.5,89653.7,43136.1,6.5
89630,43164.9,6.5,89653.8,43134.2,6.5
89628.6,43167,6.5,89653.9,43132.3,6.5
89627.7,43168.5,6.5,89654,43131.2,6.5
89626.7,43169.9,6.5,89647.5,43124.4,6.5
89626.2,43170.7,6.5,89646.6,43124.6,6.5
89625.2,43171.7,6.5,89644.8,43125.1,6.5
89659.8,43142.2,6.5,89641.9,43125.7,6.5
89659.4,43140.5,6.5,89640,43126.1,6.5
89659.1,43139,6.5,89638.3,43126.8,6.5
89659.1,43137.3,6.5,89637,43128,6.5
89659.2,43135.4,6.5,89637,43128,6.5
89659.6,43133.8,6.5,89637,43128,6.5
89659.8,43132.6,6.5,89637,43128,6.5
89660.2,43130.8,6.5,89637,43128,6.5
89660.4,43128.8,6.5,89637,43128,6.5
89646.9,43116.9,6.5,89637,43128,6.5
89644.9,43117.5,6.5,89637,43128,6.5
89642,43118.2,6.5,89637,43128,6.5
89640.3,43118.6,6.5,89637,43128,6.5
89638.8,43118.8,6.5,89637,43128,6.5
89636.6,43119.4,6.5,89637,43128,6.5
89634.7,43120.2,6.5,89637,43128,6.5
89633.4,43121,6.5,89637,43128,6.5
89632.2,43122.2,6.5,89637,43128,6.5
89631.1,43123.5,6.5,89637,43128,6.5
